Store_ID,Location,Province,Size,Type,Operating_Hours
S001,Beijing,Beijing,Large,Urban,08:00-22:00
S002,Shanghai,Shanghai,Medium,Urban,09:00-21:00
S003,Guangzhou,Guangdong,Large,Urban,08:00-22:00
S004,Shenzhen,Guangdong,Medium,Urban,09:00-21:00
S005,Chengdu,Sichuan,Large,Urban,08:00-22:00
S006,Xi'an,Shaanxi,Medium,Urban,09:00-20:00
S007,Wuhan,Hubei,Medium,Urban,09:00-21:00
S008,Chongqing,Chongqing,Small,Suburban,10:00-20:00
S009,Tianjin,Tianjin,Medium,Urban,09:00-21:00
S010,Nanjing,Jiangsu,Small,Urban,10:00-20:00
S011,Hangzhou,Zhejiang,Small,Urban,10:00-20:00
S012,Suzhou,Jiangsu,Medium,Suburban,09:00-21:00
S013,Harbin,Heilongjiang,Medium,Urban,09:00-21:00
S014,Dalian,Liaoning,Small,Urban,10:00-20:00
S015,Qingdao,Shandong,Medium,Urban,09:00-21:00
S016,Shenyang,Liaoning,Small,Urban,10:00-20:00
S017,Kunming,Yunnan,Medium,Suburban,09:00-20:00
S018,Xiamen,Fujian,Small,Urban,10:00-20:00
S019,Ningbo,Zhejiang,Medium,Urban,09:00-21:00
S020,Changsha,Hunan,Medium,Suburban,09:00-20:00
S021,Fuzhou,Fujian,Small,Urban,10:00-20:00
S022,Shijiazhuang,Hebei,Small,Urban,10:00-20:00
S023,Wenzhou,Zhejiang,Medium,Urban,09:00-21:00
S024,Changchun,Jilin,Small,Suburban,10:00-19:00
S025,Zhengzhou,Henan,Medium,Urban,09:00-21:00
S026,Hefei,Anhui,Small,Urban,10:00-20:00
S027,Nanning,Guangxi,Medium,Suburban,09:00-20:00
S028,Taiyuan,Shanxi,Small,Urban,10:00-20:00
S029,Lanzhou,Gansu,Small,Rural,09:00-18:00
S030,Urumqi,Xinjiang,Medium,Urban,09:00-21:00
S031,Guiyang,Guizhou,Medium,Urban,09:00-21:00
S032,Hohhot,Inner Mongolia,Small,Urban,10:00-19:00
S033,Jinan,Shandong,Medium,Urban,09:00-21:00
S034,Lhasa,Tibet,Small,Rural,09:00-17:00
S035,Nanchang,Jiangxi,Medium,Suburban,09:00-20:00
S036,Haikou,Hainan,Small,Urban,10:00-20:00
S037,Yinchuan,Ningxia,Small,Suburban,10:00-19:00
S038,Shantou,Guangdong,Medium,Urban,09:00-21:00
S039,Zhuhai,Guangdong,Medium,Suburban,09:00-20:00
S040,Changzhou,Jiangsu,Medium,Urban,09:00-21:00
S041,Wuxi,Jiangsu,Medium,Urban,09:00-21:00
S042,Zhongshan,Guangdong,Small,Urban,10:00-20:00
S043,Yangzhou,Jiangsu,Small,Suburban,10:00-19:00
S044,Ganzhou,Jiangxi,Medium,Rural,09:00-18:00
S045,Jilin,Jilin,Medium,Urban,09:00-21:00
S046,Xining,Qinghai,Small,Rural,09:00-18:00
S047,Yantai,Shandong,Medium,Suburban,09:00-20:00
S048,Weifang,Shandong,Small,Urban,10:00-20:00
S049,Weihai,Shandong,Medium,Suburban,09:00-20:00
S050,Zibo,Shandong,Medium,Urban,09:00-21:00
S051,Zhengzhou,Henan,Medium,Urban,09:00-21:00
S052,Luoyang,Henan,Small,Suburban,10:00-19:00
S053,Suzhou,Anhui,Medium,Urban,09:00-21:00
S054,Nantong,Jiangsu,Small,Urban,10:00-20:00
S055,Lianyungang,Jiangsu,Medium,Suburban,09:00-20:00
S056,Huai'an,Jiangsu,Small,Rural,09:00-18:00
S057,Yancheng,Jiangsu,Medium,Urban,09:00-21:00
S058,Yangzhou,Jiangsu,Small,Suburban,10:00-19:00
S059,Xuzhou,Jiangsu,Medium,Urban,09:00-21:00
S060,Changzhou,Jiangsu,Small,Urban,10:00-20:00
S061,Wuxi,Jiangsu,Medium,Suburban,09:00-20:00
S062,Suzhou,Jiangsu,Medium,Urban,09:00-21:00
S063,Nanjing,Jiangsu,Small,Urban,10:00-20:00
S064,Hefei,Anhui,Medium,Suburban,09:00-20:00
